LOAN_NO,age,channel,education,income,install_num,is_attach,is_fam_know,is_fam_reg_add,is_insuuance,is_reg_live,live_build_type,loan_amt,mar_level,mar_status,mobile_time_span,mth_repay_amt,mth_repay_date,mth_tel_bill,nation,no_close_loan,sex,str_level,unit_prov,unit_scale,FPD30,unit_is_live,reg_is_unit
660002019030801212,28.0,微信,初中,7103.0,3.0,1.0,否,1.0,1.0,否,租赁,2000.0,A1,未婚,5010.0,842.0,8.0,50-100,汉族,0.0,男,0.0,云南,200+,0.0,1,1
660002019030702672,25.0,PC,初中,3000.0,6.0,1.0,否,1.0,1.0,是,自建房,4000.0,A1,已婚有子女,36.0,826.0,7.0,50-100,汉族,0.0,男,0.0,贵州,20-50,0.0,1,1
660002019030801112,18.0,微信,中专,7102.0,3.0,1.0,是,0.0,1.0,是,与父母同住,2000.0,A1,未婚,5009.0,842.0,8.0,50-100,维吾尔族,2.0,男,0.0,新疆,10-20,0.0,1,1
660002019031000771,30.0,微信,初中,7104.0,12.0,1.0,否,1.0,1.0,否,租赁,4000.0,A1,已婚有子女,5010.0,510.0,10.0,200+,汉族,2.0,男,0.0,甘肃,0-5,0.0,1,0
660002019020702303,37.0,微信,中专,6000.0,3.0,1.0,是,1.0,1.0,否,租赁,2000.0,A1,已婚有子女,65.0,842.0,7.0,50-100,汉族,0.0,男,0.0,海南,0-5,0.0,1,1
660002019031503038,25.0,PC,大专,7105.0,3.0,1.0,是,1.0,1.0,是,与父母同住,2000.0,A1,未婚,5010.0,842.0,15.0,50-100,rare_nation,1.0,女,0.0,西藏,50-100,0.0,1,1
660002019021002285,26.0,PC,初中,7104.0,4.0,1.0,否,0.0,1.0,是,与父母同住,3000.0,A1,已婚有子女,5010.0,966.0,10.0,100-150,汉族,1.0,男,0.0,海南,0-5,0.0,1,1
660002019030701202,50.0,PC,初中,7105.0,12.0,1.0,miss,miss,1.0,是,自建房,6000.0,A1,已婚有子女,5010.0,757.0,7.0,100-150,汉族,0.0,男,1.0,贵州,200+,0.0,1,1
660002019030102954,22.0,PC,中专,7102.0,9.0,1.0,是,0.0,1.0,是,与父母同住,4000.0,A1,未婚,5010.0,638.0,1.0,0-50,维吾尔族,0.0,男,1.0,新疆,10-20,0.0,1,1
660002019022601783,27.0,PC,高中,7105.0,4.0,1.0,否,1.0,1.0,是,全款,2000.0,A1,已婚有子女,5008.0,649.0,26.0,100-150,汉族,1.0,男,0.0,河南,20-50,0.0,1,1
660002019031002069,26.0,微信,中专,2700.0,3.0,1.0,否,1.0,1.0,否,宿舍,2000.0,A1,未婚,12.0,842.0,10.0,200+,汉族,0.0,男,0.0,甘肃,50-100,1.0,1,1
660002019031202850,23.0,微信,初中,7105.0,3.0,1.0,是,0.0,1.0,否,与父母同住,2000.0,A1,未婚,5010.0,842.0,12.0,50-100,汉族,0.0,男,0.0,宁夏,20-50,0.0,1,1
